Month,Year,Valey
Январь,99,1574
Январь,1,2059
Январь,3,2312
Январь,5,2907
Январь,7,4791
Февраль,99,1541
Февраль,1,2237
Февраль,3,2504
Февраль,5,3462
Февраль,7,5339
Март,99,1800
Март,1,2515
Март,3,2820
Март,5,4365
Март,7,6149
Апрель,99,1524
Апрель,1,2406
Апрель,3,2934
Апрель,5,4267
Апрель,7,6405
Май,99,1474
Май,1,2405
Май,3,2596
Май,5,4137
Май,7,6499
Июнь,99,2337
Июнь,1,2898
Июнь,3,2908
Июнь,5,4511
Июнь,7,6499
Июль,99,1727
Июль,1,2072
Июль,3,3233
Июль,5,4446
Июль,7,6942
Август,99,1741
Август,1,2321
Август,3,3176
Август,5,4701
Август,7,7299
Сентябрь,99,1842
Сентябрь,1,2182
Сентябрь,3,3176
Сентябрь,5,4873
Сентябрь,7,6821
Октябрь,99,2007
Октябрь,1,2359
Октябрь,3,3501
Октябрь,5,4848
Октябрь,7,7812
Ноябрь,99,2198
Ноябрь,1,2341
Ноябрь,3,3315
Ноябрь,5,4747
Ноябрь,7,7581
Декабрь,99,2607
Декабрь,1,2444
Декабрь,3,3962
Декабрь,5,4977
Декабрь,7,8343
Январь,0,2198
Январь,2,1811
Январь,4,2864
Январь,6,3924
Январь,8,7057